"id","code","name"
"tjörns-kommun","tjörns-kommun","Tjörns kommun"
"tomelilla-kommun","tomelilla-kommun","Tomelilla kommun"
"torsby-kommun","torsby-kommun","Torsby kommun"
"torsås-kommun","torsås-kommun","Torsås kommun"
"tranemo-kommun","tranemo-kommun","Tranemo kommun"
"tranås-kommun","tranås-kommun","Tranås kommun"
"trelleborg-kommun","trelleborg-kommun","Trelleborg kommun"
"trollhättans-kommun","trollhättans-kommun","Trollhättans kommun"
"trosa-kommun","trosa-kommun","Trosa kommun"
"tyresö-kommun","tyresö-kommun","Tyresö kommun"
"täby-kommun","täby-kommun","Täby kommun"
"töreboda-kommun","töreboda-kommun","Töreboda kommun"
"uddevalla-kommun","uddevalla-kommun","Uddevalla kommun"
"ulricehamn-kommun","ulricehamn-kommun","Ulricehamn kommun"
"umeå-kommun","umeå-kommun","Umeå kommun"
"upplands-bro-kommun","upplands-bro-kommun","Upplands-Bro kommun"
"upplands-väsby-kommun","upplands-väsby-kommun","Upplands Väsby kommun"
"uppsala-kommun","uppsala-kommun","Uppsala kommun"
"uppvidinge-kommun","uppvidinge-kommun","Uppvidinge kommun"
"vadstena-kommun","vadstena-kommun","Vadstena kommun"
"vaggeryds-kommun","vaggeryds-kommun","Vaggeryds kommun"
"valdemarsviks-kommun","valdemarsviks-kommun","Valdemarsviks kommun"
"vallentuna-kommun","vallentuna-kommun","Vallentuna kommun"
"vansbro-kommun","vansbro-kommun","Vansbro kommun"
"vara-kommun","vara-kommun","Vara kommun"
"varbergs-kommun","varbergs-kommun","Varbergs kommun"
"vaxholms-kommun","vaxholms-kommun","Vaxholms kommun"
"vellinge-kommun","vellinge-kommun","Vellinge kommun"
"vetlanda-kommun","vetlanda-kommun","Vetlanda kommun"
"vilhelmina-kommun","vilhelmina-kommun","Vilhelmina kommun"
"vimmerby-kommun","vimmerby-kommun","Vimmerby kommun"
"vindelns-kommun","vindelns-kommun","Vindelns kommun"
"vingåkers-kommun","vingåkers-kommun","Vingåkers kommun"
"vårgårda-kommun","vårgårda-kommun","Vårgårda kommun"
"vänersborgs-kommun","vänersborgs-kommun","Vänersborgs kommun"
"vännäs-kommun","vännäs-kommun","Vännäs kommun"
"värmdö-kommun","värmdö-kommun","Värmdö kommun"
"värnamo-kommun","värnamo-kommun","Värnamo kommun"
"västerviks-kommun","västerviks-kommun","Västerviks kommun"
"västerås-kommun","västerås-kommun","Västerås kommun"
"växjö-kommun","växjö-kommun","Växjö kommun"
"ydre-kommun","ydre-kommun","Ydre kommun"
"ystads-kommun","ystads-kommun","Ystads kommun"
"åmåls-kommun","åmåls-kommun","Åmåls kommun"
"ånge-kommun","ånge-kommun","Ånge kommun"
"åre-kommun","åre-kommun","Åre kommun"
"årjängs-kommun","årjängs-kommun","Årjängs kommun"
"åsele-kommun","åsele-kommun","Åsele kommun"
"åstorps-kommun","åstorps-kommun","Åstorps kommun"
"åtvidabergs-kommun","åtvidabergs-kommun","Åtvidabergs kommun"
"älmhults-kommun","älmhults-kommun","Älmhults kommun"
"älvdalens-kommun","älvdalens-kommun","Älvdalens kommun"
"älvkarleby-kommun","älvkarleby-kommun","Älvkarleby kommun"
"älvsbyns-kommun","älvsbyns-kommun","Älvsbyns kommun"
"ängelholms-kommun","ängelholms-kommun","Ängelholms kommun"
"öckerö-kommun","öckerö-kommun","Öckerö kommun"
"ödeshögs-kommun","ödeshögs-kommun","Ödeshögs kommun"
"örebro-kommun","örebro-kommun","Örebro kommun"
"örkelljunga-kommun","örkelljunga-kommun","Örkelljunga kommun"
"örnsköldsviks-kommun","örnsköldsviks-kommun","Örnsköldsviks kommun"
"östersunds-kommun","östersunds-kommun","Östersunds kommun"
"österåkers-kommun","österåkers-kommun","Österåkers kommun"
"östhammars-kommun","östhammars-kommun","Östhammars kommun"
"östra-göinge-kommun","östra-göinge-kommun","Östra Göinge kommun"
"överkalix-kommun","överkalix-kommun","Överkalix kommun"
"övertorneå-kommun","övertorneå-kommun","Övertorneå kommun"
